Ticker,銘柄名
2170,P: リンクアンドモチベーション
2173,G: 博展
2175,P: エス・エム・エス
2179,S: 成学社
2180,S: サニーサイドアップグループ
2181,P: パーソルホールディングス
2183,S: リニカル
2185,S: シイエム・シイ
2186,S: ソーバル
218A,G: Liberaware
2193,S: クックパッド
2195,G: アミタホールディングス
2196,S: エスクリ
2198,P: アイ・ケイ・ケイホールディングス
219A,G: Heartseed
2201,P: 森永製菓
2204,S: 中村屋
2206,P: 江崎グリコ
2207,P: 名糖産業
2208,S: ブルボン
2209,P: 井村屋グループ
220A,S: Faber Company
2211,P: 不二家
2212,P: 山崎製パン
2215,S: 第一屋製パン
2216,S: カンロ
2217,P: モロゾフ
2220,P: 亀田製菓
2221,S: 岩塚製菓
2222,P: 寿スピリッツ
2224,S: コモ
2226,S: 湖池屋
2229,P: カルビー
2264,P: 森永乳業
2266,P: 六甲バター
2267,P: ヤクルト本社
2268,S: B-R サーティワン アイスクリーム
2269,P: 明治ホールディングス
2270,P: 雪印メグミルク
2281,P: プリマハム
2282,P: 日本ハム
2286,S: 林兼産業
2288,P: 丸大食品
228A,G: オプロ
2291,S: 福留ハム
2292,P: S Foods
2293,S: 滝沢ハム
2294,P: 柿安本店
2296,P: 伊藤ハム米久ホールディングス
2300,S: きょくとう
2301,P: 学情
2303,S: ドーン
2304,S: CSSホールディングス
2305,P: スタジオアリス
2307,P: クロスキャット
2311,S: エプコ
2315,S: CAICA DIGITAL
2317,P: システナ
2321,G: ソフトフロントホールディングス
2323,S: fonfun
2325,P: NJS
2326,P: デジタルアーツ
2327,P: 日鉄ソリューションズ
2329,S: 東北新社
2330,S: フォーサイド
2331,P: 綜合警備保障
2332,S: クエスト
2334,G: イオレ
2335,P: キューブシステム
2337,P: いちご
2338,S: クオンタムソリューションズ
2340,S: 極楽湯ホールディングス
2341,S: アルバイトタイムス
2342,G: トランスジェニックグループ
2344,S: 平安レイサービス
2345,S: クシム
2349,S: エヌアイデイ
2351,G: ASJ
2353,P: 日本駐車場開発
2354,S: YE DIGITAL
2359,P: コア
2370,G: メディネット
2371,P: カカクコム
2372,P: アイロムグループ
2373,S: ケア21
2374,P: セントケア・ホールディング
2375,S: ギグワークス
2376,S: サイネックス
2378,P: ルネサンス
2379,P: ディップ
2384,P: SBSホールディングス
2385,G: 総医研ホールディングス
2388,G: ウェッジホールディングス
2389,P: デジタルホールディングス
2391,S: プラネット
2393,S: 日本ケアサプライ
2395,P: 新日本科学
2397,S: DNAチップ研究所
2404,S: 鉄人化ホールディングス
2408,S: KG情報
2410,P: キャリアデザインセンター
2411,S: ゲンダイエージェンシー
2413,P: エムスリー
2415,S: ヒューマンホールディングス
2418,S: ツカダ・グローバルホールディング
241A,G: ROXX
2424,S: ブラス
2425,S: ケアサービス
2428,S: ウェルネット
2429,P: ワールドホールディングス
2432,P: ディー・エヌ・エー
2433,P: 博報堂DYホールディングス
2435,S: シダー
2436,S: 共同ピーアール
2437,S: Shinwa Wise Holdings
2438,G: アスカネット
2440,P: ぐるなび
2445,P: タカミヤ
2449,S: プラップジャパン
244A,G: グロースエクスパートナーズ
2454,S: オールアバウト
2459,S: アウンコンサルティング
245A,G: INGS
2461,P: ファンコミュニケーションズ
2462,P: ライク
2464,S: Aoba‐BBT
2469,S: ヒビノ
246A,G: アスア
2471,P: エスプール
2475,P: WDBホールディングス
2477,S: 手間いらず
2479,G: ジェイテック
247A,G: Aiロボティクス
2480,S: システム・ロケーション
2481,S: タウンニュース社
2483,S: 翻訳センター
2484,S: 出前館
2485,S: ティア
2488,S: JTP
2489,P: アドウェイズ
248A,G: キッズスター
2491,P: バリューコマース
2492,P: インフォマート
2493,S: イーサポートリンク
2497,G: ユナイテッド
2498,S: オリエンタルコンサルタンツホールディングス
2499,S: 日本和装ホールディングス
2501,P: サッポロホールディングス
2502,P: アサヒグループホールディングス
2503,P: キリンホールディングス
250A,S: シマダヤ
2531,P: 宝ホールディングス
2533,P: オエノンホールディングス
253A,S: ETSグループ
2540,P: 養命酒製造
254A,S: AIフュージョンキャピタルグループ
255A,S: ジーエルテクノホールディングス
256A,P: 飛島ホールディングス
2573,S: 北海道コカ・コーラボトリング
2579,P: コカ・コーラ ボトラーズジャパンホールディングス
2585,P: ライフドリンク カンパニー
2586,G: フルッタフルッタ
2587,P: サントリー食品インターナショナル
2588,S: プレミアムウォーターホールディングス
2590,P: ダイドーグループホールディングス
2593,P: 伊藤園
25935,P: 伊藤園第1種優先株式
2594,P: キーコーヒー
2597,S: ユニカフェ
2602,P: 日清オイリオグループ
2607,P: 不二製油グループ本社
260A,G: オルツ
2612,S: かどや製油
2613,P: J-オイルミルズ
261A,S: 日水コン
262A,P: インターメスティック
264A,G: Schoo
2652,S: まんだらけ
2653,S: イオン九州
2654,S: アスモ
2656,S: ベクターホールディングス
2659,P: サンエー
265A,G: Hmcomm
2664,P: カワチ薬品
2666,S: オートウェーブ
2667,S: イメージ ワン
2668,S: タビオ
2669,S: カネ美食品
2670,P: エービーシー・マート
2673,S: 夢みつけ隊
2674,P: ハードオフコーポレーション
2676,P: 高千穂交易
2678,P: アスクル
2681,P: ゲオホールディングス
2683,S: 魚喜
2685,P: アダストリア
2686,S: ジーフット
2687,S: シー・ヴイ・エス・ベイエリア
2689,S: オルバヘルスケアホールディングス
268A,P: リガク・ホールディングス
2692,P: 伊藤忠食品
2693,S: YKT
2694,S: 焼肉坂井ホールディングス
2695,P: くら寿司
2698,S: キャンドゥ
269A,G: Sapeet
2700,S: 木徳神糧
2702,S: 日本マクドナルドホールディングス
2705,S: 大戸屋ホールディングス
2708,S: 久世
2721,S: ジェイホールディングス
2722,S: IKホールディングス
2726,P: パルグループホールディングス
2730,P: エディオン
2733,P: あらた
2734,P: サーラコーポレーション
2735,S: ワッツ
2736,S: フェスタリアホールディングス
2737,P: トーメンデバイス
2742,P: ハローズ
2743,S: ピクセルカンパニーズ
2747,S: 北雄ラッキー
2749,P: JPホールディングス
274A,S: ガーデン
2750,S: 石光商事
2751,S: テンポスホールディングス
2752,P: フジオフードグループ本社
2753,P: あみやき亭
2760,P: 東京エレクトロン デバイス
2762,S: SANKO MARKETING FOODS
2763,S: エフティグループ
2764,S: ひらまつ
2767,P: 円谷フィールズホールディングス
2768,P: 双日
2769,S: ヴィレッジヴァンガードコーポレーション
276A,G: ククレブ・アドバイザーズ
2776,S: 新都ホールディングス
2778,S: パレモ・ホールディングス
277A,G: グロービング
2780,S: コメ兵ホールディングス
2782,S: セリア
2784,P: アルフレッサ ホールディングス
2788,S: アップルインターナショナル
2789,S: カルラ
278A,G: Terra Drone
2790,S: ナフコ
2791,P: 大黒天物産
2792,P: ハニーズホールディングス
2795,S: 日本プリメックス
2796,S: ファーマライズホールディングス
2798,S: ワイズテーブルコーポレーション
2801,P: キッコーマン
2802,P: 味の素
2804,P: ブルドックソース
2805,S: ヱスビー食品
2806,S: ユタカフーズ
2809,P: キユーピー
280A,G: TMH
2810,P: ハウス食品グループ本社
2811,P: カゴメ
2813,S: 和弘食品
2814,S: 佐藤食品工業
2815,P: アリアケジャパン
2816,S: ダイショー
2818,S: ピエトロ
2819,S: エバラ食品工業
281A,G: インフォメティス
2820,S: やまみ
2830,S: アヲハタ
2831,S: はごろもフーズ
285A,P: キオクシアホールディングス
286A,G: ユカリア
2871,P: ニチレイ
2872,S: セイヒョー
2874,P: 横浜冷凍
2875,P: 東洋水産
2876,S: デルソーレ
2877,S: 日東ベスト
287A,S: 黒田グループ
2882,P: イートアンドホールディングス
2883,S: 大冷
2884,P: ヨシムラ・フード・ホールディングス
288A,G: ラクサス・テクノロジーズ
2892,S: 日本食品化工
2894,S: 石井食品
2897,P: 日清食品ホールディングス
2901,S: ウェルディッシュ
2903,S: シノブフーズ
2904,S: 一正蒲鉾
2907,S: あじかん
2908,P: フジッコ
290A,G: Synspective
2910,P: ロック・フィールド
2911,S: 旭松食品
2914,P: 日本たばこ産業
2915,P: ケンコーマヨネーズ
2916,S: 仙波糖化工業
2917,S: 大森屋
2918,P: わらべや日洋ホールディングス
291A,G: リスキル
2922,P: なとり
2923,S: サトウ食品
2924,S: イフジ産業
2926,S: 篠崎屋
2927,S: AFC-HDアムスライフサイエンス
2929,P: ファーマフーズ
2930,P: 北の達人コーポレーション
2931,P: ユーグレナ
2932,S: STIフードホールディングス
2933,P: 紀文食品
2934,G: ジェイフロンティア
2935,P: ピックルスホールディングス
2936,G: ベースフード
2937,G: サンクゼール
2938,S: オカムラ食品工業
2961,S: 日本調理機
2962,S: テクニスコ
296A,G: 令和アカウンティング・ホールディングス
2970,S: グッドライフカンパニー
2975,P: スター・マイカ・ホールディングス
2978,G: ツクルバ
297A,S: アルピコホールディングス
2980,P: SREホールディングス
2981,G: ランディックス
2982,P: ADワークスグループ
2983,G: アールプランナー
2984,S: ヤマイチ・ユニハイムエステート
2986,G: LAホールディングス
298A,G: GVA TECH
2991,S: ランドネット
2993,S: 長栄
2997,G: ストレージ王
2998,G: クリアル
2999,S: ホームポジション
299A,G: dely
3001,S: 片倉工業
3002,P: グンゼ
3003,P: ヒューリック
3004,S: 神栄
300A,S: MIC
3010,S: ポラリス・ホールディングス
3011,S: バナーズ
3020,S: アプライド
3021,S: パシフィックネット
3023,S: ラサ商事
3024,S: クリエイト
3028,P: アルペン
302A,G: ビースタイルホールディングス
3030,S: ハブ
3031,P: ラクーンホールディングス
3034,P: クオールホールディングス
3035,S: ケイティケイ
3036,P: アルコニックス
3038,P: 神戸物産
303A,G: visumo
3040,P: ソリトンシステムズ
3041,S: ビューティカダンホールディングス
3042,G: セキュアヴェイル
3045,S: カワサキ
3046,P: ジンズホールディングス
3048,P: ビックカメラ
304A,G: フォルシア
3050,P: DCMホールディングス
3053,S: ペッパーフードサービス
3054,S: ハイパー
3058,S: 三洋堂ホールディングス
3059,S: ヒラキ
3063,G: ジェイグループホールディングス
3064,P: MonotaRO
3065,S: ライフフーズ
3067,S: 東京一番フーズ
3068,S: WDI
3069,S: JFLAホールディングス
3070,G: ジェリービーンズグループ
3071,S: ストリーム
3073,P: DDグループ
3075,S: 銚子丸
3076,P: あい ホールディングス
